,market_volatility,avg_correlation,cross_sectional_dispersion,regime_score,label
2017-10-06,0.0031100538601397,0.0786722114799207,0.0099631392388787,-1.1434392743083304,0
2017-10-09,0.003163322919575,0.0827389253104923,0.0099932315659646,-1.1302441867639184,0
2017-10-10,0.0031619934084592,0.0822315779327544,0.0100398905565185,-1.1290486054834206,0
2017-10-11,0.0031659007803815,0.0819107385334807,0.0100565715360994,-1.1286161764784923,0
2017-10-12,0.003136349929094,0.0801515758388092,0.0100369818337722,-1.1350751596144866,0
2017-10-13,0.0030632904914665,0.0775896469018664,0.0099902942616349,-1.1473450671519885,0
2017-10-16,0.0030642726849418,0.0774920412681752,0.0100419081849867,-1.1449248881586027,0
2017-10-17,0.0026823940089947,0.0612733944574318,0.0099608483954703,-1.2067124888756189,0
2017-10-18,0.0026724443865715,0.0621138067990427,0.0099117379754725,-1.2080944288335616,0
2017-10-19,0.002675657770438,0.0628428823841859,0.0099003129463544,-1.206975629580713,0
2017-10-20,0.0026576768652562,0.0629623218092676,0.0098665301058581,-1.2095823076335397,0
2017-10-23,0.0022534307997773,0.0403722297736105,0.0098776871801806,-1.2811504173017507,0
2017-10-24,0.0022454971086477,0.0392104903036605,0.0098920355238279,-1.2833080925285003,0
2017-10-25,0.0025256443673183,0.0477777352098016,0.010173568061096,-1.2337278965519918,0
2017-10-26,0.0025504283916345,0.0481215428427178,0.0103763284119381,-1.2213808273440314,0
2017-10-27,0.0025910391136419,0.0430572220892434,0.0107087364991654,-1.2125155633529423,0
2017-10-30,0.0029071615885346,0.0573955200896533,0.0108465907366936,-1.156023290012395,0
2017-10-31,0.0028713998959038,0.0548608401313153,0.0109564158705469,-1.158054577643813,0
2017-11-01,0.0028847143501349,0.0565616003766453,0.0108704272947972,-1.1579990239771076,0
2017-11-02,0.0028309681513523,0.0520206246462141,0.0110469031217281,-1.1619656854697418,0
2017-11-03,0.0028669862056873,0.0520302081974933,0.0113682894301232,-1.1436907822217757,0
2017-11-06,0.0027819655464258,0.0540177998230175,0.0113584743310975,-1.1457240932366148,0
2017-11-07,0.0027629524138546,0.0497754952709957,0.0117283715115744,-1.1372456569123606,0
2017-11-08,0.0027444616518486,0.049336247484344,0.0117016208001878,-1.1406670811401316,0
2017-11-09,0.0029192108581439,0.0568556717845493,0.0117738514606156,-1.1104572115739235,0
2017-11-10,0.0029082746600128,0.0555014682536347,0.0119209860070683,-1.1066319368586122,0
2017-11-13,0.0028277585377191,0.0523492861835097,0.0119801714808539,-1.1153457726924394,0
2017-11-14,0.0028136679583429,0.051574168777952,0.0120608347502062,-1.1138446275209568,0
2017-11-15,0.0031246873854426,0.0665707020059135,0.0122653473512287,-1.053058574846474,0
2017-11-16,0.0034220195166789,0.0737560152221295,0.0124598521999498,-1.0094516773048328,0
2017-11-17,0.0034171809466122,0.0756801803206171,0.0125283477859791,-1.002490983846532,0
2017-11-20,0.0034187421683564,0.0760336767859208,0.0124871338668081,-1.003713014796811,0
2017-11-21,0.00356328216389,0.0844878996291554,0.0125391859946785,-0.9745892650959188,0
2017-11-22,0.0035386853205868,0.0827942457066212,0.0125675883601052,-0.9782175598646772,0
2017-11-24,0.0035386482180926,0.0845624693611574,0.0123951682318236,-0.9831750766163062,0
2017-11-27,0.0035633414802808,0.0850317431989702,0.0127467768446216,-0.9632173214509752,0
2017-11-28,0.003952996852533,0.1100924046044849,0.0128058880790167,-0.884134764129202,0
2017-11-29,0.0039445559385051,0.1005931067814942,0.0132528612570624,-0.8817771457092036,0
2017-11-30,0.0041658178176356,0.1119043064072845,0.0133526517800993,-0.8394954209370118,0
2017-12-01,0.004199058212102,0.1161914341690291,0.0131573116732901,-0.8383172318163138,0
2017-12-04,0.0041527054355778,0.1067889923955959,0.0135671456160735,-0.8400825761974752,0
2017-12-05,0.0041696054573834,0.1065440691335194,0.0135499919916434,-0.840319937984393,0
2017-12-06,0.0041772471087193,0.1091067111728006,0.0135957598709304,-0.8323760971266299,0
2017-12-07,0.0040401920778785,0.1035262490300782,0.0133481301865582,-0.8648759855084164,0
2017-12-08,0.0040741384932139,0.1126408876415874,0.0131236490255487,-0.8553356397625562,0
2017-12-11,0.0040553764903107,0.117434785510384,0.0126360474399256,-0.8709942588701008,0
2017-12-12,0.0038086830773782,0.1075164587133817,0.0125105879650947,-0.9133950985414157,0
2017-12-13,0.0038105409828332,0.1068308917370316,0.0124944106314124,-0.9154594067544426,0
2017-12-14,0.0039445320272968,0.1149333777456215,0.0124552261705866,-0.8922502635689133,0
2017-12-15,0.0041628630249442,0.127669414199903,0.0123599097545973,-0.8569317734530673,0
2017-12-18,0.0042324575340513,0.1300657712697088,0.0122082269927771,-0.8550360504208222,0
2017-12-19,0.0042997466502413,0.1354152086408322,0.0120043173942725,-0.849905898512815,0
2017-12-20,0.0042966810597659,0.1363878487575569,0.0117591685432721,-0.8602673473876234,0
2017-12-21,0.0042950189936947,0.1356065298367723,0.0118017086880319,-0.8598510360548595,0
2017-12-22,0.0041906910328807,0.1324504370064071,0.0116142517527882,-0.8823320000106954,0
2017-12-26,0.004193311806248,0.1335587318198813,0.0114811021055447,-0.8865068210971088,0
2017-12-27,0.0041938534201619,0.1355561589095053,0.011289753735818,-0.8918995045338344,0
2017-12-28,0.0041565154617261,0.1378825397380916,0.0110840996835936,-0.8998144165030936,0
2017-12-29,0.0040620018637372,0.1335673852870718,0.010823304970775,-0.9276234621968829,0
2018-01-02,0.0040212241601481,0.1243107678707148,0.0108620906697889,-0.9470836714684692,0
2018-01-03,0.0040835909232182,0.1205401541203291,0.0109663130792076,-0.9454670627433068,0
2018-01-04,0.0041419875906017,0.1234018967089891,0.0110492840750185,-0.9317561174354264,0
2018-01-05,0.0042020392426225,0.1265466613883561,0.0110923699665344,-0.9193377777263364,0
2018-01-08,0.0041693001761731,0.1245400618645353,0.0111068414107007,-0.9248206814179442,0
2018-01-09,0.0041717727431577,0.1207535982573428,0.0113097219316394,-0.922276276957848,0
2018-01-10,0.0041605428433089,0.125393055805856,0.0110411208899058,-0.9269207950806918,0
2018-01-11,0.0040026480330636,0.1123835416448517,0.0109965647582367,-0.9657551405208562,0
2018-01-12,0.004095065986339,0.129451336592139,0.0106170490609466,-0.9439814366590986,0
2018-01-16,0.0040978798506245,0.1220771782725361,0.0106949811353371,-0.954846994747746,0
2018-01-17,0.0042335533223498,0.1294899086948867,0.0108722616149205,-0.9222140665091622,0
2018-01-18,0.0042802710735986,0.1515383275767429,0.0103968583055181,-0.898108047987594,0
2018-01-19,0.004191586291369,0.1485374748191219,0.0104524535560101,-0.9072283018998444,0
2018-01-22,0.0042128414272901,0.1536681259886353,0.0104297135319851,-0.896591723151208,0
2018-01-23,0.0042175763301702,0.1517201418187785,0.0106049880691626,-0.8915488423347854,0
2018-01-24,0.004261752111644,0.1503076276158052,0.0107694880753256,-0.8833749815791697,0
2018-01-25,0.0042739460545422,0.1447927831512134,0.0109662853488407,-0.883988604434091,0
2018-01-26,0.0045771808968778,0.1521746671449244,0.0113060640974301,-0.8324118036675564,0
2018-01-29,0.0048975867283283,0.1774535996118318,0.0112935907796819,-0.7609619511279347,0
2018-01-30,0.0052966011670077,0.1938574480812968,0.0113890470981853,-0.6969662229754117,0
2018-01-31,0.0051624909665297,0.1781978663248875,0.0116052238532659,-0.7267024836235818,0
2018-02-01,0.0051769850234043,0.1675523223729597,0.0118512579128722,-0.7351002332723054,0
2018-02-02,0.0065290704975949,0.2389357733249524,0.0120560563158436,-0.4921853025323716,1
2018-02-05,0.009952630851671,0.4200908804879928,0.0121918463795774,0.1047798505547658,1
2018-02-06,0.0104710582339309,0.4267961390978836,0.0124831542204183,0.1666770801075938,1
2018-02-07,0.0104908070239,0.4197160566926576,0.0127409712879887,0.1664127302341569,1
2018-02-08,0.0124501392879979,0.487425877466448,0.0129583315341529,0.442272042793749,2
2018-02-09,0.0127951032453644,0.4906135386267998,0.0133059371554802,0.4884900101647711,2
2018-02-12,0.0130181580455724,0.4959516338562594,0.0134498123635336,0.5209968671901999,2
2018-02-13,0.01299147123688,0.4929651962106445,0.0136185296935955,0.5215596904812929,2
2018-02-14,0.0131329761671816,0.4963540305422588,0.013616902214645,0.5375911651238966,2
2018-02-15,0.0133230172476009,0.5077691776224829,0.0135723982175057,0.5709016151182449,2
2018-02-16,0.0132868627789714,0.5063915514623053,0.0135534033318029,0.5648109752196899,2
2018-02-20,0.0132885242543765,0.5020367669233695,0.013664038136346,0.5615904965215083,2
2018-02-21,0.0133296088569507,0.5029743913570355,0.0136939188767302,0.5676529929433995,2
2018-02-22,0.0133364627963369,0.503836789506429,0.0135963058718902,0.5650161292401606,2
2018-02-23,0.013625676037241,0.5147590787174473,0.0136158894844418,0.6069920624938488,2
2018-02-26,0.0137512752097855,0.5203084539772449,0.0136223031134856,0.6267470958619767,2
2018-02-27,0.0138963010942028,0.5277525750144444,0.0135736290574304,0.6488784216276638,2
2018-02-28,0.0140163824366412,0.5275985547096023,0.0136591503011162,0.6606576609353993,2
2018-03-01,0.0140236951323609,0.5252448622195407,0.0135905545987482,0.6529857936897304,2
2018-03-02,0.014055040515508,0.5245352206809581,0.0136509326796391,0.6565899138469666,2
2018-03-05,0.0141838791472386,0.5305351537905977,0.0136843855078846,0.6788052064685831,2
2018-03-06,0.0141136033466491,0.5262886609994504,0.0137194300420479,0.667355651577055,2
2018-03-07,0.0141039684154279,0.5260421057873649,0.0136368673166141,0.6621425359693485,2
2018-03-08,0.0141518751813648,0.5314896889245545,0.0135051954932357,0.6697757270795005,2
2018-03-09,0.0144796910905404,0.5448096128719753,0.013423153010871,0.7140974890922274,2
2018-03-12,0.0143038122761309,0.552216277857808,0.01305582156028,0.6993849067895159,2
2018-03-13,0.0142909776569373,0.5523219366599253,0.0130050242176391,0.6962455812523902,2
2018-03-14,0.014195269197656,0.5514153011341535,0.0129952671597307,0.6876656904500635,2
2018-03-15,0.0141893746826835,0.5601434499930691,0.0127377818631813,0.6921844057315255,2
2018-03-16,0.0141957310770417,0.575501374226411,0.0124283244811711,0.7083343595047111,2
2018-03-19,0.0139212945486608,0.5702653694838917,0.0123112111283391,0.6739944065473624,2
2018-03-20,0.0117511989460094,0.4866440107671092,0.0123805575794409,0.3663610185744533,2
2018-03-21,0.0113195158749383,0.482634521228638,0.012246351761849,0.3233618180180812,2
2018-03-22,0.0122532683561914,0.5157593728497818,0.0123421449788861,0.4561730501802359,2
2018-03-23,0.0107958564817231,0.4562473925689435,0.012358122945642,0.2412797467027689,2
2018-03-26,0.0114622883456456,0.4858437738616692,0.0123793577260876,0.3457731595591896,2
2018-03-27,0.0116026474151829,0.4740171415396646,0.0126395734089108,0.3439283628573114,2
2018-03-28,0.0116089351816336,0.4663936113624772,0.012806088962347,0.3371680912793843,2
