,market_volatility,cross_sectional_dispersion,avg_correlation,market_volatility_z,avg_correlation_z,cross_sectional_dispersion_z,regime_score,label
2025-06-11,0.008207259966567959,0.014763351421644361,0.25683260854538525,-0.15852600760457708,-0.17284893660287715,0.15191930364310402,-0.10073382405453087,1
2025-06-12,0.0082129020869328,0.014870249474544812,0.2582397785418086,-0.15783145316282773,-0.16335905007798035,0.1779355774538844,-0.09233632611403109,1
2025-06-13,0.008496131289715447,0.014834138734358,0.26792626242113005,-0.12296546518220157,-0.09803387040981648,0.16914713951025853,-0.05706346581199402,1
2025-06-16,0.008272854477839802,0.01452778665343157,0.25700568666119483,-0.15045121369515732,-0.171681706145185,0.09458881591472423,-0.10781235550818931,1
2025-06-17,0.008430590032799985,0.014584074640277948,0.26352729395221947,-0.13103370339139248,-0.12770030140441396,0.10828788374916547,-0.08216936536718733,1
2025-06-18,0.00831849163030481,0.014457305111636067,0.26245528903163057,-0.14483320399247812,-0.13492985083794184,0.0774353969308875,-0.0974084778614441,1
2025-06-20,0.008293417802611702,0.01426651876267479,0.26436456966200783,-0.1479198340658859,-0.12205375443699716,0.03100284031025384,-0.10437547530199133,1
2025-06-23,0.008292894378344292,0.014275691388669735,0.26283132146210725,-0.1479842684675542,-0.13239390627973274,0.03323522474545591,-0.10706326116860573,1
2025-06-24,0.008352068795597951,0.014466390280131787,0.2616448964387599,-0.1406997988561704,-0.14039509936264546,0.0796464964297889,-0.09653912995092105,1
2025-06-25,0.00699623530395781,0.013882712924055027,0.23703189309531578,-0.3076051665188867,-0.30638400572071106,-0.062405762716470206,-0.2581989375189507,1
2025-06-26,0.00710167032389156,0.013362854714628116,0.2505100358280124,-0.2946259394419094,-0.21548806178731347,-0.1889260608160768,-0.24974460042036412,1
2025-06-27,0.007040970477131394,0.013433526410109657,0.24968101088228825,-0.3020981919736864,-0.22107896600018595,-0.17172636324972265,-0.25171805843684353,1
2025-06-30,0.006842515470053126,0.013159742219879474,0.24041733974630972,-0.32652833485268873,-0.2835527169384853,-0.23835848857687347,-0.2960016802232647,1
2025-07-01,0.007058647952219894,0.013441232615335242,0.23960620100310734,-0.2999220652610874,-0.2890229974650055,-0.1698508684230996,-0.2706381055546653,1
2025-07-02,0.007085734917757157,0.013557202911346806,0.23847830476854517,-0.2965876145562332,-0.29662947522182187,-0.14162664082408236,-0.26560797800947966,1
2025-07-03,0.0070776844271228335,0.013518057574118092,0.23994159147776226,-0.29757864340119977,-0.28676114029487226,-0.15115362269255453,-0.26504838832757244,1
2025-07-07,0.006295828299869548,0.013393200500554538,0.20449727018561634,-0.3938264387117413,-0.5257959320182597,-0.18154066646843292,-0.3909601322550352,1
2025-07-08,0.006261869348480017,0.013564192972326878,0.19991321782060154,-0.39800684235426637,-0.5567105598732787,-0.1399254373364851,-0.3940016766064138,1
2025-07-09,0.006178553895068009,0.013584233869315612,0.1985235713132406,-0.40826311384295444,-0.5660822688338832,-0.1350479914960254,-0.4009658358708473,1
2025-07-10,0.005675604358135745,0.013596558703261435,0.1721235477697775,-0.4701770419875711,-0.7441227531526666,-0.132048439624809,-0.48473503486454733,1
2025-07-11,0.005668163459353138,0.013772800014165395,0.16734982033511822,-0.47109302905730316,-0.7763165405208242,-0.08915577622411808,-0.4862726319297224,1
2025-07-14,0.00565525718556639,0.013873709097088242,0.16428841544854766,-0.47268181291963945,-0.7969625072868604,-0.06459706575106262,-0.48834907179609033,1
2025-07-15,0.006150606348443628,0.014062811732047011,0.18566717710347477,-0.4117035035171838,-0.6527851707434795,-0.01857428239869477,-0.40540215946137476,1
2025-07-16,0.006151634572406921,0.014068938591243123,0.18385402720675992,-0.4115769274297136,-0.6650129661173059,-0.017083160323771725,-0.4087089856148029,1
2025-07-17,0.00614936548407764,0.014155668778070802,0.18169561724393693,-0.41185625599342945,-0.6795691787095725,0.004024766593010386,-0.40899392829098435,1
2025-07-18,0.006161608712918053,0.01416741622990502,0.18139298687062402,-0.4103490940715655,-0.6816101033377455,0.0068837983078593465,-0.40828081837553454,1
2025-07-21,0.006115406106605225,0.014290673587390768,0.1767491564136733,-0.4160367120874694,-0.7129278717589992,0.036881511779111247,-0.41452041521561217,1
2025-07-22,0.006067841232203306,0.01465446046699147,0.1689365647168454,-0.4218920275807308,-0.7656156130103725,0.1254180081105737,-0.4155470960713624,1
2025-07-23,0.006218882454372039,0.014989211247672118,0.1702233851144155,-0.40329860082609104,-0.7569373583702776,0.20688785468177842,-0.3873529369877731,1
2025-07-24,0.006162488752783801,0.014972443958495977,0.16600988479311815,-0.410240759694036,-0.7853530011308267,0.202807121923463,-0.4001648558015734,1
2025-07-25,0.006145590129238376,0.014967962138243847,0.16639972161848007,-0.41232100848065584,-0.7827239603999172,0.20171636058884151,-0.4006344202425347,1
2025-07-28,0.006177209161082409,0.014837364725221716,0.16891113589385479,-0.4084286528428825,-0.7657871037650475,0.1699322638352047,-0.3999640047839146,1
2025-07-29,0.005855501181772408,0.014835221037138765,0.14877202552602756,-0.4480314424906077,-0.901604291872261,0.16941054454642676,-0.4606148998976968,1
2025-07-30,0.006055238560432279,0.014830728976592798,0.15534552591467363,-0.42344343752778213,-0.8572729225862648,0.16831729098410672,-0.4352401373429491,1
2025-07-31,0.005993950681090647,0.015126055191961486,0.14530190451675476,-0.4309880778526121,-0.9250066204390737,0.24019219865607705,-0.4449575853268128,1
